id;name;artist;genres;style;resolution;length
eight;晴天;周杰倫;Chinese Pop/Rock;rock;16/9;"318.300000"
eleven;美人魚;周杰倫;Chinese Pop/Rock;rock;16/9;"33.149000"
fifteen;Piao Yi;Jay Chou;Chinese Pop/Rock;rock;16/9;"33.211000"
five;斷了的弦;周杰倫;Chinese Pop/Rock;rock;16/9;"294.592000"
four;半島鐵盒;周杰倫;;;16/9;"319.902000"
fourteen;楓;周杰倫;Chinese Pop/Rock;rock;16/9;"33.231000"
nine;Yi Lu Xiang Bei;Jay Chou;Chinese Pop/Rock;rock;40/17;"301.210000"
one;Ke Ai Nu Ren;Jay Chou;Chinese Pop/Rock;rock;16/9;"239.328000"
seven;開不了口;周杰倫;Chinese Pop/Rock;rock;16/9;"292.154000"
six;Ge Chien;Jay Chou;Chinese Pop/Rock;rock;16/9;"268.655000"
sixteen;蘭亭序;周杰倫;Chinese Pop/Rock;rock;16/9;"33.211000"
ten;不能说的秘密;Jason小宋;;;16/9;"33.231000"
thirteen;牛仔很忙;Jay Chou;Chinese Pop/Rock;rock;16/9;"33.211000"
three;愛在西元前;周杰倫;;;16/9;"238.214000"
tweleve;楓;周杰倫;Chinese Pop/Rock;rock;16/9;"33.231000"
two;軌跡;周杰倫;Chinese Pop/Rock;rock;16/9;"325.335000"
